sample_ID,weight_g,length_cm,ab_fat,other_fat,total_fat,X100xfat_weight,Trigly,Total_Chol,HDL_Chol,UC,FFA,Glucose,LDL_plus_VLDL,MCP_1_phys,Insulin_ug_l,Glucose_Insulin,Leptin_pg_ml,Adiponectin,Aortic.lesions,Aneurysm,Aortic_cal_M,Aortic_cal_L,CoronaryArtery_Cal,Myocardial_cal,BMD_all_limbs,BMD_femurs_only
F2_290,36.9,9.9,2.53,2.26,4.79,12.98102981,53,1167,50,484,121,437,1117,175.85,924,0.472943723,245462,11.274,496250,16,0,17,0,0,NA,NA
F2_291,48.5,10.7,2.9,2.97,5.87,12.10309278,61,1230,32,592,173,572,1198,92.43,5781,0.098944819,84420.88,7.099,NA,16,4,0,2,4,0.0548,0.0773
F2_292,45.7,10.4,1.04,2.31,3.35,7.330415755,41,1285,81,460,96,497,1204,196.398,2074,0.239633558,105889.76,5.795,218500,0,0,11,0,0,0.0554,0.08065
F2_293,50.3,10.9,0.91,1.89,2.8,5.566600398,271,1299,64,476,122,553,1235,97.466,11874,0.046572343,100398.68,5.495,61250,0,0,0,0,236,0.0597,0.0868
F2_294,44.8,9.8,1.22,2.47,3.69,8.236607143,114,1410,50,516,118,535,1360,95.452,9181,0.058272519,130846.3,6.868,243750,12,10,0,0,0,NA,NA
F2_295,39.2,10.2,3.06,2.49,5.55,14.15816327,72,1533,18,620,106,382,1515,144.27,485,0.787628866,75166.22,17.328,104250,17,2,0,0,0,0.0557,0.077
F2_296,38.8,10.2,3.28,1.64,4.92,12.68041237,120,1386,29,539,131,569,1357,109.494,978,0.581799591,68410.52,8.71,133250,0,0,7,0,0,0.0621,0.09105
F2_297,31.2,10.1,1.83,1.5,3.33,10.67307692,15,699,10,297,80,376,689,161.976,831,0.452466907,44714.22,27.404,313500,0,0,0,0,0,NA,NA
F2_298,33.4,10,2.19,1.81,4,11.9760479,65,1334,19,504,110,568,1315,87.668,560,1.014285714,74253.66,14.237,301500,6,0,0,0,0,NA,NA
F2_299,40,9.9,3.41,2.68,6.09,15.225,83,1114,33,459,131,464,1081,129.976,1151,0.403127715,114169.02,7.592,57500,0,0,0,6,0,0.0575,0.08275
F2_300,41.1,9.8,4.01,3.29,7.3,17.76155718,80,1414,27,620,157,599,1387,121.318,2823,0.212185618,200970.8,14.366,62750,3,3,0,0,78,0.0523,0.0746
F2_301,33.8,9.9,1.94,1.93,3.87,11.44970414,21,1019,33,420,111,398,986,105.064,1084,0.367158672,125887.52,27.99,265750,0,0,0,0,0,0.0532,0.07895
F2_302,44,10.5,3.6,2.05,5.65,12.84090909,121,1468,33,739,191,655,1435,117.122,4506,0.14536174,162679.62,8.404,126750,22,10,4,1,52,0.0588,0.08605
F2_303,41.9,10.1,3.5,2.37,5.87,14.00954654,91,1444,25,534,130,477,1419,NA,1596,0.29887218,383322.2,12.048,154500,39,3,0,0,0,NA,NA
F2_304,37.6,10.1,3.36,1.87,5.23,13.90957447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352750,6,1,2,0,0,0.0553,0.0784
F2_305,34.1,10.1,2.52,1.58,4.1,12.02346041,91,1475,24,589,134,503,1451,NA,1094,0.459780622,124436.08,10.319,190250,16,0,0,0,0,NA,NA
F2_306,42.9,10.2,3.86,2.35,6.21,14.47552448,48,1632,33,577,100,484,1599,144.128,3533,0.136994056,270467.6,14.718,166750,6,0,4,0,0,NA,NA
F2_307,35.3,9.8,2.48,2.03,4.51,12.77620397,0,1277,23,566,131,488,1254,144.904,421,1.159144893,101448.8,22.469,275500,NA,NA,NA,0,1,NA,NA
F2_308,40.5,10,3.27,2.32,5.59,13.80246914,7,1284,28,582,142,575,1256,87.378,3130,0.18370607,285963,17.142,192750,27,6,3,0,0,0.0502,0.0721
F2_309,40.7,10.9,3.13,2.16,5.29,12.997543,30,1657,28,506,77,417,1629,125.294,821,0.507917174,159643.64,14.343,318000,20,0,0,0,0,0.0573,0.07945
F2_310,39.5,10.6,2.47,2.07,4.54,11.49367089,24,1287,32,457,103,418,1255,140.806,1082,0.386321627,194313.18,24.737,268000,22,0,0,0,0,0.056,0.0813
F2_311,33.6,9.9,2.4,1.77,4.17,12.41071429,63,1183,25,406,100,369,1158,102.128,1206,0.305970149,108510.66,16.383,183000,0,0,0,0,0,0.0565,0.07995
F2_312,39.4,10.1,2.7,2.75,5.45,13.83248731,112,1442,53,553,144,522,1389,127.282,1073,0.486486486,226996.2,12.425,411250,0,0,13,0,0,0.0551,0.076
F2_313,46.2,10.4,1.76,2.35,4.11,8.896103896,5,1863,54,658,146,460,1809,157.396,3520,0.130681818,199609.68,9.63,241000,28,6,0,0,0,0.0548,0.0795
F2_314,52.3,10.7,1.45,2.65,4.1,7.839388145,119,1334,34,466,117,396,1300,NA,5208,0.076036866,86420.94,8.001,155000,21,8,0,0,0,0.0549,0.07715
F2_315,54.4,11.1,0.38,2.32,2.7,4.963235294,113,2154,42,850,187,652,2112,NA,9267,0.070357181,122113.22,9.287,252500,24,11,0,0,51,0.0631,0.0896
F2_316,52.7,11.1,1.09,1.61,2.7,5.123339658,129,1198,74,378,90,322,1124,143.21,6224,0.051735219,62457.86,3.113,294500,28,14,1,0,1,0.0607,0.0874
F2_259,43.8,10.1,1.04,1.46,2.5,5.707762557,81,1441,50,570,157,577,1391,95.604,2338,0.24679213,52053.52,1.852,309750,37,14,0,0,3,0.0555,0.074
F2_260,33.6,9.9,1.88,1.55,3.43,10.20833333,40,1175,25,468,108,460,1150,125.388,1208,0.380794702,61221.66,4.803,202500,18,1,0,0,0,0.0534,0.0775
F2_261,39.6,10.3,2.9,2.3,5.2,13.13131313,23,1583,45,569,103,475,1538,117.62,1108,0.428700361,89290.54,7.056,214750,0,0,0,0,0,0.0567,0.0785
F2_262,41.8,10.1,3.95,2.45,6.4,15.31100478,95,1630,36,713,192,649,1594,81.874,2793,0.232366631,178225.18,7.681,302500,36,4,0,0,0,0.0523,0.07635
F2_263,36,10.1,2.6,2,4.6,12.77777778,29,1611,25,730,158,519,1586,96.884,NA,NA,NA,NA,326750,52,10,0,33,85,0.0547,0.0801
F2_264,41.6,10.4,3.04,2.54,5.58,13.41346154,94,1397,38,495,113,453,1359,198.228,1529,0.296272073,137452.5,2.705,86666,0,0,0,0,0,0.0497,0.07765
F2_265,47.1,10.5,1.47,2.31,3.78,8.025477707,881,1502,43,552,146,524,1459,92.142,11469,0.045688377,79101.92,2.541,195500,0,0,0,0,17,0.0564,0.08335
F2_266,53.2,10.7,0.83,2.08,2.91,5.469924812,120,1688,42,777,171,604,1646,200.902,14028,0.043056744,113769.74,1.885,240250,6,0,8,0,5,0.0609,0.0862
F2_267,48.9,10.5,1.23,1.94,3.17,6.482617587,102,1299,41,451,108,442,1258,219.984,5525,0.08,77288.6,7.013,157000,19,4,0,0,0,0.0599,0.08685
F2_268,48,10.9,1.13,2.15,3.28,6.833333333,106,1463,45,527,132,456,1418,208.364,14700,0.031020408,72941.86,12.595,236250,15,4,0,0,0,0.0618,0.0901
F2_269,42.3,10.3,NA,3.13,NA,NA,68,848,38,278,83,311,810,75.544,1159,0.268334771,155588.32,10.054,120750,0,0,0,0,5,0.056,0.0801
F2_270,45.2,10.2,3.66,2.72,6.38,14.11504425,82,1065,31,415,125,509,1034,98.758,1979,0.257200606,223565.8,13.319,151250,0,0,0,0,0,0.0573,0.08735
F2_271,42.3,10,1.58,2.39,3.97,9.38534279,105,1315,27,516,118,499,1288,172.894,6357,0.078496146,134703.24,30.82,267500,15,0,4,0,2,0.0584,0.0831
F2_272,39.6,10,1.82,2.55,4.37,11.03535354,130,1087,45,410,134,484,1042,NA,2545,0.190176817,92320.54,10.364,189500,0,0,56,0,1,0.0578,0.08355
F2_273,50.4,10.8,0.98,2.84,3.82,7.579365079,79,1408,43,509,106,387,1365,NA,7012,0.055191101,145655.18,14.064,146750,5,0,0,0,0,0.0551,0.08065
F2_274,49.4,11,0.91,1.71,2.62,5.303643725,502,2135,49,910,227,819,2086,154.504,18663,0.04388362,100817.24,5.095,147250,34,23,0,1,0,0.0539,0.08545
F2_275,50.4,10.5,0.86,2.51,3.37,6.686507937,96,1485,61,475,99,417,1424,247.144,8876,0.046980622,114446.02,5.013,138250,4,0,8,0,1,0.0627,0.08905
F2_276,54.1,11.1,1.3,2.87,4.17,7.707948244,254,1649,52,729,214,548,1597,209.42,3781,0.144935202,76213.66,6.706,99642,0,0,0,0,0,0.0575,0.06835
F2_277,33.8,10.1,2,2.2,4.2,12.4260355,97,1148,34,462,145,460,1114,115.554,878,0.523917995,68390.14,12.998,86250,0,0,0,5,0,0.0484,0.0845
F2_278,44.4,10.7,2.81,2.78,5.59,12.59009009,80,1100,37,508,147,558,1063,132.598,5091,0.109605186,109518.16,10.423,325750,55,0,15,0,0,0.0552,0.08465
F2_279,44.8,10.5,2.05,2.25,4.3,9.598214286,95,1195,35,527,151,457,1160,124.23,1902,0.240273396,29163.56,6.147,58250,5,5,0,NA,3134,0.063,0.0899
