"","treated1","treated2","treated3","untreated1","untreated2","untreated3","untreated4"
"FBgn0045862",1398,919,994,1000,1944,843,854
"FBgn0039840",3,3,2,1,1,1,3
"FBgn0037369",547,269,264,317,465,143,173
"FBgn0050476",240,66,83,137,235,52,74
"FBgn0034601",4,0,3,4,10,1,2
"FBgn0028675",334,151,177,155,368,141,139
"FBgn0052445",11,6,8,6,16,5,6
"FBgn0035344",53,30,28,117,199,78,77
"FBgn0016978",1333,859,838,1068,1847,880,916
"FBgn0036947",0,0,0,1,0,0,0
"FBgn0037342",577,293,323,476,686,241,281
"FBgn0004898",0,0,0,0,0,0,0
"FBgn0034849",502,299,371,428,342,223,260
"FBgn0003023",29,11,19,11,29,14,23
"FBgn0024985",1159,591,589,868,1494,552,529
"FBgn0030615",134,57,49,79,142,60,60
"FBgn0004644",5,2,4,4,11,5,5
"FBgn0011787",1233,595,656,886,1461,441,576
"FBgn0040532",19,8,6,22,27,8,7
"FBgn0013348",5,2,0,2,2,1,1
"FBgn0011938",0,0,0,0,0,0,0
"FBgn0038400",2909,1472,1582,1847,3432,1125,1433
"FBgn0259731",0,0,0,0,0,0,0
"FBgn0023529",10095,4219,4575,6120,13260,3988,4631
"FBgn0032538",2,3,0,0,4,0,0
"FBgn0031773",265,144,163,154,292,111,116
"FBgn0259961",0,0,0,0,1,0,0
"FBgn0083967",0,0,0,0,0,0,0
"FBgn0028992",1329,439,497,780,1092,369,427
"FBgn0027106",0,3,1,2,3,1,0
"FBgn0086027",6,0,0,0,15,0,0
"FBgn0052370",0,0,0,0,0,0,1
"FBgn0002021",478,206,246,309,463,158,191
"FBgn0004449",3462,1859,1753,2598,4496,1877,1744
"FBgn0032755",0,0,1,0,1,1,0
"FBgn0024889",1055,523,594,764,1251,375,482
"FBgn0038063",8,4,2,4,10,3,6
"FBgn0030354",2623,1442,1585,2225,3387,1383,1509
"FBgn0003091",3,1,3,2,13,4,2
"FBgn0036872",3,0,0,0,2,0,0
"FBgn0037472",378,211,196,263,358,153,199
"FBgn0004368",2872,1693,1850,2250,2841,1201,1267
"FBgn0050419",0,0,1,0,1,0,0
"FBgn0016984",4020,2003,2108,2916,4599,1748,1904
"FBgn0035009",0,0,0,0,0,0,0
"FBgn0003089",15,5,7,4,18,13,9
"FBgn0035700",0,0,0,0,0,0,0
"FBgn0030824",1,0,0,0,1,1,0
"FBgn0035077",8,13,19,11,19,11,6
"FBgn0042146",0,0,0,0,0,0,0
"FBgn0032210",734,183,215,492,871,202,268
"FBgn0034809",0,0,1,0,1,0,0
